posicion,repositorio,score,densidad_x_kloc,total,criticas,altas,medias,bajas,info,loc
1,golf-tracker,354.0,1.07,76,9,44,21,2,0,332325
2,bojuboard-main,267.0,5.62,66,1,44,16,5,0,47536
